Gender,Age,Occupation,Salary,System,Gaming,Social_Media,Entertainment,Photo_Video,New_smartphone_choice,Reason,,,,,,
Female,26-30 yrs,Private_sector,"30,001-40,000 Baht",IOS,Least,Most Often,Often,Most Often,Iphone,ทน,,,,,,
Male,21-25 yrs,Student,"less than 20,000 Baht",IOS,Quite less,Often,Moderate,Often,Iphone,ถนัดและสะดวกเพราะใช้มานาน รู้เกี่ยวกับฟังก์ชันต่างๆ,,,,,,
Female,21-25 yrs,Private_sector,"30,001-40,000 Baht",IOS,Quite less,Often,Often,Quite less,Iphone,ระบบเสถียร,,,,,,
Female,31-35 yrs,Student,"less than 20,000 Baht",Android,Least,Quite less,Often,Often,Oppo,ราคาถูก,,,,,,
Male,31-35 yrs,Private_sector,"more  than 60,000 Baht",IOS,Moderate,Often,Quite less,Quite less,Iphone,ความสเถียร,,,,,,
Male,26-30 yrs,Private_sector,"30,001-40,000 Baht",IOS,Quite less,Often,Often,Quite less,Iphone,คุ้นเคยกับแบรนด์เดิม,,,,,,
Male,26-30 yrs,Student,"less than 20,000 Baht",IOS,Quite less,Most Often,Least,Moderate,Iphone,Data Privacy,,,,,,
Female,21-25 yrs,Private_sector,"20,001-30,000 Baht",IOS,Moderate,Most Often,Often,Often,Iphone,ใช้งานสะดวก ลื่นไหล,,,,,,
Male,26-30 yrs,Private_sector,"20,001-30,000 Baht",Android,Least,Least,Least,Least,Google,ยังไม่เคยลองใช้ brand นี้,,,,,,
Female,26-30 yrs,Private_sector,"40,001-50,000 Baht",IOS,Least,Most Often,Most Often,Most Often,Iphone,"ใช้งานง่าย, รวดเร็ว",,,,,,
Female,21-25 yrs,Private_sector,"30,001-40,000 Baht",Android,Least,Most Often,Quite less,Most Often,Samsung,กล้องสวย,,,,,,
Male,21-25 yrs,Gov_Off,"20,001-30,000 Baht",IOS,Often,Most Often,Often,Moderate,ยังไม่รู้,รอดูอนาคต,,,,,,
Male,21-25 yrs,Private_sector,"20,001-30,000 Baht",IOS,Least,Often,Often,Often,Iphone,VDO ใน IG จะชัดมาก,,,,,,
Female,26-30 yrs,Freelancer,"30,001-40,000 Baht",IOS,Least,Often,Most Often,Moderate,Iphone,Sync ข้อมูลจากเครื่องเก่าง่าย,,,,,,
Female,21-25 yrs,Private_sector,"20,001-30,000 Baht",IOS,Least,Most Often,Often,Moderate,Iphone,เคยชินกับระบบของios,,,,,,
Male,26-30 yrs,Private_sector,"30,001-40,000 Baht",IOS,Least,Most Often,Often,Often,Iphone,ใช้กับอุปกรณ์ต่างๆของ ios ได้ง่าย,,,,,,
Female,26-30 yrs,State_enterprise,"20,001-30,000 Baht",IOS,Quite less,Most Often,Moderate,Often,Iphone,ระบบเสถียร ปลอดภัย และทน,,,,,,
Female,26-30 yrs,State_enterprise,"30,001-40,000 Baht",IOS,Least,Often,Most Often,Quite less,Iphone,ระบบมีความปลอดภัย design ทันสมัย,,,,,,
Female,31-35 yrs,Private_sector,"50,001-60,000 Baht",IOS,Least,Most Often,Often,Moderate,ยังไม่รู้,ยังคิดไม่ออก,,,,,,
Female,31-35 yrs,Private_sector,"40,001-50,000 Baht",IOS,Quite less,Often,Often,Moderate,Iphone,ใช้ได้นาน ไม่ต้องเปลี่ยนเครื่องบ่อย,,,,,,
Male,26-30 yrs,Private_sector,"50,001-60,000 Baht",IOS,Often,Most Often,Often,Often,Iphone,Stable Operating System,,,,,,
Male,26-30 yrs,Gov_Off,"less than 20,000 Baht",IOS,Often,Often,Moderate,Quite less,Iphone,Design,,,,,,
Male,26-30 yrs,Private_sector,"20,001-30,000 Baht",IOS,Least,Most Often,Most Often,Moderate,Iphone,ความเสถียรของระบบ,,,,,,
Male,31-35 yrs,Student,"less than 20,000 Baht",IOS,Moderate,Moderate,Quite less,Quite less,Nokia,ย้อนวัย,,,,,,
Female,26-30 yrs,Private_sector,"30,001-40,000 Baht",Android,Moderate,Most Often,Quite less,Often,Google,เป็นแบรนด์ที่น่าสนใจ,,,,,,
Male,31-35 yrs,Private_sector,"more  than 60,000 Baht",IOS,Moderate,Often,Moderate,Moderate,Iphone,เพราะรู้สึกยุ่งยากในการย้ายข้อมูลส่วนตัว เเละ data ที่เก็บไว้ใน cloud,,,,,,
Female,21-25 yrs,Student,"less than 20,000 Baht",Android,Least,Most Often,Often,Moderate,Samsung,ฟังก์ชั่นใหม่น่าใช้ และคุ้นเคยที่สุด,,,,,,
Male,26-30 yrs,Private_sector,"40,001-50,000 Baht",IOS,Quite less,Often,Moderate,Most Often,Iphone,Ecosystem ดี,,,,,,
Male,31-35 yrs,Gov_Off,"20,001-30,000 Baht",Android,Moderate,Moderate,Moderate,Quite less,Samsung,ใช้ง่าย,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
